FIRST,LAST,ADDRESS,CITY,STATE,ZIP
Al,Green, 2347 Rayburn House Office Building,Washington,DC,20515-4309
Mark,Green, 2446 Rayburn House Office Building,Washington,DC,20515-4207
Marjorie,Greene, 2201 Rayburn House Office Building,Washington,DC,20515-1014
H.,Griffith, 2110 Rayburn House Office Building,Washington,DC,20515-4609
Glenn,Grothman, 1211 Longworth House Office Building,Washington,DC,20515-4906
Michael,Guest, 450 Cannon House Office Building,Washington,DC,20515-2403
Brett,Guthrie, 2161 Rayburn House Office Building,Washington,DC,20515-1702
Harriet,Hageman, 1227 Longworth House Office Building,Washington,DC,20515-5000
Abraham,Hamadeh, 1722 Longworth House Office Building,Washington,DC,20515-0308
Josh,Harder, 209 Cannon House Office Building,Washington,DC,20515-0509
Mike,Haridopolos, 1039 Longworth House Office Building,Washington,DC,20515-0908
Pat,Harrigan, 1233 Longworth House Office Building,Washington,DC,20515-3310
Andy,Harris, 1536 Longworth House Office Building,Washington,DC,20515-2001
Mark,Harris, 126 Cannon House Office Building,Washington,DC,20515-3308
Diana,Harshbarger, 167 Cannon House Office Building,Washington,DC,20515-4201
Jahana,Hayes, 2049 Rayburn House Office Building,Washington,DC,20515-0705
Kevin,Hern, 171 Cannon House Office Building,Washington,DC,20515-3601
Pablo,Hernández, 1419 Longworth House Office Building,Washington,DC,20515-5401
Clay,Higgins, 572 Cannon House Office Building,Washington,DC,20515-1803
J.,Hill, 1533 Longworth House Office Building,Washington,DC,20515-0402
James,Himes, 2137 Rayburn House Office Building,Washington,DC,20515-0704
Ashley,Hinson, 2458 Rayburn House Office Building,Washington,DC,20515-1502
Steven,Horsford, 406 Cannon House Office Building,Washington,DC,20515-2804
Erin,Houchin, 342 Cannon House Office Building,Washington,DC,20515-1409
Chrissy,Houlahan, 1727 Longworth House Office Building,Washington,DC,20515-3806
Steny,Hoyer, 1705 Longworth House Office Building,Washington,DC,20515-2005
Val,Hoyle, 1620 Longworth House Office Building,Washington,DC,20515-3704
Richard,Hudson, 2112 Rayburn House Office Building,Washington,DC,20515-3309
Jared,Huffman, 2330 Rayburn House Office Building,Washington,DC,20515-0502
Bill,Huizenga, 2232 Rayburn House Office Building,Washington,DC,20515-2204
Wesley,Hunt, 1520 Longworth House Office Building,Washington,DC,20515-0001
Jeff,Hurd, 1641 Longworth House Office Building,Washington,DC,20515-0603
Darrell,Issa, 2108 Rayburn House Office Building,Washington,DC,20515-0548
Glenn,Ivey, 1610 Longworth House Office Building,Washington,DC,20515-2004
Brian,Jack, 1320 Longworth House Office Building,Washington,DC,20515-1003
Jonathan,Jackson, 1632 Longworth House Office Building,Washington,DC,20515-1301
Ronny,Jackson, 125 Cannon House Office Building,Washington,DC,20515-4313
Sara,Jacobs, 2348 Rayburn House Office Building,Washington,DC,20515-0551
John,James, 1519 Longworth House Office Building,Washington,DC,20515-2210
Pramila,Jayapal, 2346 Rayburn House Office Building,Washington,DC,20515-4707
Hakeem,Jeffries, 2267 Rayburn House Office Building,Washington,DC,20515-3208
Dusty,Johnson, 1714 Longworth House Office Building,Washington,DC,20515-4100
Henry,Johnson, 2240 Rayburn House Office Building,Washington,DC,20515-1004
Julie,Johnson, 221 Cannon House Office Building,Washington,DC,20515-4332
Mike,Johnson, 568 Cannon House Office Building,Washington,DC,20515-1804
Jim,Jordan, 2056 Rayburn House Office Building,Washington,DC,20515-3504
David,Joyce, 2065 Rayburn House Office Building,Washington,DC,20515-3514
John,Joyce, 2102 Rayburn House Office Building,Washington,DC,20515-3813
Sydney,Kamlager-Dove, 144 Cannon House Office Building,Washington,DC,20515-0537
Marcy,Kaptur, 2314 Rayburn House Office Building,Washington,DC,20515-3509
Thomas,Kean, 251 Cannon House Office Building,Washington,DC,20515-3007
William,Keating, 2372 Rayburn House Office Building,Washington,DC,20515-2109
Mike,Kelly, 1707 Longworth House Office Building,Washington,DC,20515-3816
Robin,Kelly, 2329 Rayburn House Office Building,Washington,DC,20515-1302
Trent,Kelly, 2243 Rayburn House Office Building,Washington,DC,20515-2401
Mike,Kennedy, 1626 Longworth House Office Building,Washington,DC,20515-4403
Timothy,Kennedy, 423 Cannon House Office Building,Washington,DC,20515-3226
Ro,Khanna, 306 Cannon House Office Building,Washington,DC,20515-0517
Jennifer,Kiggans, 152 Cannon House Office Building,Washington,DC,20515-4602
Kevin,Kiley, 2445 Rayburn House Office Building,Washington,DC,20515-0503
Young,Kim, 2439 Rayburn House Office Building,Washington,DC,20515-0540
Kimberlyn,King-Hinds, 425 Cannon House Office Building,Washington,DC,20515-5201
Brad,Knott, 1239 Longworth House Office Building,Washington,DC,20515-3313
Raja,Krishnamoorthi, 2367 Rayburn House Office Building,Washington,DC,20515-1308
David,Kustoff, 560 Cannon House Office Building,Washington,DC,20515-4208
Darin,LaHood, 503 Cannon House Office Building,Washington,DC,20515-1316
Nick,LaLota, 122 Cannon House Office Building,Washington,DC,20515-3201
Doug,LaMalfa, 408 Cannon House Office Building,Washington,DC,20515-0501
Greg,Landsman, 2244 Rayburn House Office Building,Washington,DC,20515-3501
Nicholas,Langworthy, 422 Cannon House Office Building,Washington,DC,20515-3223
Rick,Larsen, 2163 Rayburn House Office Building,Washington,DC,20515-4702
John,Larson, 1501 Longworth House Office Building,Washington,DC,20515-0701
George,Latimer, 1507 Longworth House Office Building,Washington,DC,20515-3216
Robert,Latta, 2470 Rayburn House Office Building,Washington,DC,20515-3505
Michael,Lawler, 324 Cannon House Office Building,Washington,DC,20515-3217
Laurel,Lee, 2464 Rayburn House Office Building,Washington,DC,20515-0915
Summer,Lee, 2437 Rayburn House Office Building,Washington,DC,20515-3812
Susie,Lee, 365 Cannon House Office Building,Washington,DC,20515-2803
Teresa,Leger Fernandez, 2417 Rayburn House Office Building,Washington,DC,20515-3103
Julia,Letlow, 142 Cannon House Office Building,Washington,DC,20515-1805
Mike,Levin, 2352 Rayburn House Office Building,Washington,DC,20515-0549
Sam,Liccardo, 1117 Longworth House Office Building,Washington,DC,20515-0516
Ted,Lieu, 2454 Rayburn House Office Building,Washington,DC,20515-0536
Zoe,Lofgren, 1401 Longworth House Office Building,Washington,DC,20515-0518
Barry,Loudermilk, 2133 Rayburn House Office Building,Washington,DC,20515-1011
Frank,Lucas, 2405 Rayburn House Office Building,Washington,DC,20515-3603
Anna Paulina,Luna, 226 Cannon House Office Building,Washington,DC,20515-0913
Morgan,Luttrell, 444 Cannon House Office Building,Washington,DC,20515-4308
Stephen,Lynch, 2109 Rayburn House Office Building,Washington,DC,20515-2108
Nancy,Mace, 1728 Longworth House Office Building,Washington,DC,20515-4001
Ryan,Mackenzie, 121 Cannon House Office Building,Washington,DC,20515-3807
Seth,Magaziner, 252 Cannon House Office Building,Washington,DC,20515-3902
Nicole,Malliotakis, 1124 Longworth House Office Building,Washington,DC,20515-3211
Celeste,Maloy, 249 Cannon House Office Building,Washington,DC,20515-4402
Tracey,Mann, 344 Cannon House Office Building,Washington,DC,20515-1601
John,Mannion, 1516 Longworth House Office Building,Washington,DC,20515-3222
Thomas,Massie, 2371 Rayburn House Office Building,Washington,DC,20515-1704
Brian,Mast, 2182 Rayburn House Office Building,Washington,DC,20515-0921
Doris,Matsui, 2206 Rayburn House Office Building,Washington,DC,20515-0507
Lucy,McBath, 2246 Rayburn House Office Building,Washington,DC,20515-1006
Sarah,McBride, 1306 Longworth House Office Building,Washington,DC,20515-0800
Michael,McCaul, 2300 Rayburn House Office Building,Washington,DC,20515-4310
Lisa,McClain, 562 Cannon House Office Building,Washington,DC,20515-2209
April,McClain Delaney, 1130 Longworth House Office Building,Washington,DC,20515-2006
Jennifer,McClellan, 1628 Longworth House Office Building,Washington,DC,20515-4604
Tom,McClintock, 2256 Rayburn House Office Building,Washington,DC,20515-0505
Betty,McCollum, 2426 Rayburn House Office Building,Washington,DC,20515-2304
Richard,McCormick, 1719 Longworth House Office Building,Washington,DC,20515-1007
Kristen,McDonald Rivet, 1408 Longworth House Office Building,Washington,DC,20515-2208
Addison,McDowell, 1032 Longworth House Office Building,Washington,DC,20515-3306
Morgan,McGarvey, 1527 Longworth House Office Building,Washington,DC,20515-1703
James,McGovern, 370 Cannon House Office Building,Washington,DC,20515-2102
John,McGuire, 1013 Longworth House Office Building,Washington,DC,20515-4605
LaMonica,McIver, 426 Cannon House Office Building,Washington,DC,20515-3010
Gregory,Meeks, 2310 Rayburn House Office Building,Washington,DC,20515-3205
Robert,Menendez, 2453 Rayburn House Office Building,Washington,DC,20515-3008
Grace,Meng, 2468 Rayburn House Office Building,Washington,DC,20515-3206
Mark,Messmer, 1208 Longworth House Office Building,Washington,DC,20515-1408
Daniel,Meuser, 350 Cannon House Office Building,Washington,DC,20515-3809
Kweisi,Mfume, 2263 Rayburn House Office Building,Washington,DC,20515-2007
Carol,Miller, 465 Cannon House Office Building,Washington,DC,20515-4801
Mary,Miller, 1740 Longworth House Office Building,Washington,DC,20515-1315
Max,Miller, 143 Cannon House Office Building,Washington,DC,20515-3507
Mariannette,Miller-Meeks, 504 Cannon House Office Building,Washington,DC,20515-1501
Cory,Mills, 346 Cannon House Office Building,Washington,DC,20515-0907
Dave,Min, 1034 Longworth House Office Building,Washington,DC,20515-0547
John,Moolenaar, 246 Cannon House Office Building,Washington,DC,20515-2202
Barry,Moore, 1511 Longworth House Office Building,Washington,DC,20515-0101
Blake,Moore, 1131 Longworth House Office Building,Washington,DC,20515-4401
Gwen,Moore, 2252 Rayburn House Office Building,Washington,DC,20515-4904
Riley,Moore, 1337 Longworth House Office Building,Washington,DC,20515-4802
Tim,Moore, 1424 Longworth House Office Building,Washington,DC,20515-0001
Nathaniel,Moran, 1605 Longworth House Office Building,Washington,DC,20515-4301
Joseph,Morelle, 570 Cannon House Office Building,Washington,DC,20515-3225
Kelly,Morrison, 1205 Longworth House Office Building,Washington,DC,20515-2303
Jared,Moskowitz, 242 Cannon House Office Building,Washington,DC,20515-0923
Seth,Moulton, 1126 Longworth House Office Building,Washington,DC,20515-2106
James,Moylan, 228 Cannon House Office Building,Washington,DC,20515-5301
Frank,Mrvan, 2441 Rayburn House Office Building,Washington,DC,20515-1401
Kevin,Mullin, 1404 Longworth House Office Building,Washington,DC,20515-0515
Gregory,Murphy, 407 Cannon House Office Building,Washington,DC,20515-3303
Jerrold,Nadler, 2132 Rayburn House Office Building,Washington,DC,20515-3212
Richard,Neal, 372 Cannon House Office Building,Washington,DC,20515-2101
Joe,Neguse, 2400 Rayburn House Office Building,Washington,DC,20515-0602
Troy,Nehls, 1104 Longworth House Office Building,Washington,DC,20515-4322
Dan,Newhouse, 460 Cannon House Office Building,Washington,DC,20515-4704
Donald,Norcross, 2427 Rayburn House Office Building,Washington,DC,20515-3001
Ralph,Norman, 569 Cannon House Office Building,Washington,DC,20515-4005
Eleanor,Norton, 2136 Rayburn House Office Building,Washington,DC,20515-5101
Zachary,Nunn, 1410 Longworth House Office Building,Washington,DC,20515-1503
Jay,Obernolte, 2433 Rayburn House Office Building,Washington,DC,20515-0523
Alexandria,Ocasio-Cortez, 250 Cannon House Office Building,Washington,DC,20515-3214
Andrew,Ogles, 151 Cannon House Office Building,Washington,DC,20515-4205
Johnny,Olszewski, 1339 Longworth House Office Building,Washington,DC,20515-2002
Ilhan,Omar, 1730 Longworth House Office Building,Washington,DC,20515-2305
Robert,Onder, 1113 Longworth House Office Building,Washington,DC,20515-2503
Burgess,Owens, 309 Cannon House Office Building,Washington,DC,20515-4404
Frank,Pallone, 2107 Rayburn House Office Building,Washington,DC,20515-3006
Gary,Palmer, 170 Cannon House Office Building,Washington,DC,20515-0106
Jimmy,Panetta, 200 Cannon House Office Building,Washington,DC,20515-0519
Chris,Pappas, 452 Cannon House Office Building,Washington,DC,20515-2901
Jimmy,Patronis, 2021 Rayburn House Office Building,Washington,DC,20515-0901
Nancy,Pelosi, 1236 Longworth House Office Building,Washington,DC,20515-0511
Marie,Perez, 1431 Longworth House Office Building,Washington,DC,20515-4703
Scott,Perry, 2160 Rayburn House Office Building,Washington,DC,20515-3810
Scott,Peters, 2369 Rayburn House Office Building,Washington,DC,20515-0550
Brittany,Pettersen, 348 Cannon House Office Building,Washington,DC,20515-0607
August,Pfluger, 2202 Rayburn House Office Building,Washington,DC,20515-4311
Chellie,Pingree, 2354 Rayburn House Office Building,Washington,DC,20515-1901
Stacey,Plaskett, 2059 Rayburn House Office Building,Washington,DC,20515-5500
Mark,Pocan, 1026 Longworth House Office Building,Washington,DC,20515-4902
Nellie,Pou, 1007 Longworth House Office Building,Washington,DC,20515-3009
Ayanna,Pressley, 402 Cannon House Office Building,Washington,DC,20515-2107
Mike,Quigley, 2083 Rayburn House Office Building,Washington,DC,20515-1305
Aumua Amata,Radewagen, 2001 Rayburn House Office Building,Washington,DC,20515-5200
Delia,Ramirez, 1523 Longworth House Office Building,Washington,DC,20515-1303
Emily,Randall, 1531 Longworth House Office Building,Washington,DC,20515-4706
Jamie,Raskin, 2242 Rayburn House Office Building,Washington,DC,20515-2008
Guy,Reschenthaler, 2209 Rayburn House Office Building,Washington,DC,20515-3814
Josh,Riley, 128 Cannon House Office Building,Washington,DC,20515-3219
Luz,Rivas, 1319 Longworth House Office Building,Washington,DC,20515-0529
Harold,Rogers, 2406 Rayburn House Office Building,Washington,DC,20515-1705
Mike,Rogers, 2469 Rayburn House Office Building,Washington,DC,20515-0103
John,Rose, 2238 Rayburn House Office Building,Washington,DC,20515-4206
Deborah,Ross, 1221 Longworth House Office Building,Washington,DC,20515-3302
David,Rouzer, 2333 Rayburn House Office Building,Washington,DC,20515-3307
Chip,Roy, 103 Cannon House Office Building,Washington,DC,20515-4321
Raul,Ruiz, 2342 Rayburn House Office Building,Washington,DC,20515-0525
Michael,Rulli, 421 Cannon House Office Building,Washington,DC,20515-3506
John,Rutherford, 1711 Longworth House Office Building,Washington,DC,20515-0905
Patrick,Ryan, 1708 Longworth House Office Building,Washington,DC,20515-3218
Maria,Salazar, 2162 Rayburn House Office Building,Washington,DC,20515-0927
Andrea,Salinas, 403 Cannon House Office Building,Washington,DC,20515-0001
Linda,Sánchez, 2309 Rayburn House Office Building,Washington,DC,20515-0538
Steve,Scalise, 266 Cannon House Office Building,Washington,DC,20515-1801
Mary Gay,Scanlon, 1214 Longworth House Office Building,Washington,DC,20515-3805
Janice,Schakowsky, 2408 Rayburn House Office Building,Washington,DC,20515-1309
Derek,Schmidt, 1223 Longworth House Office Building,Washington,DC,20515-1602
Bradley,Schneider, 300 Cannon House Office Building,Washington,DC,20515-1310
Hillary,Scholten, 1317 Longworth House Office Building,Washington,DC,20515-2203
Kim,Schrier, 1110 Longworth House Office Building,Washington,DC,20515-4708
David,Schweikert, 166 Cannon House Office Building,Washington,DC,20515-0301
Austin,Scott, 2185 Rayburn House Office Building,Washington,DC,20515-1008
David,Scott, 468 Cannon House Office Building,Washington,DC,20515-1013
Robert,Scott, 2328 Rayburn House Office Building,Washington,DC,20515-4603
Keith,Self, 1030 Longworth House Office Building,Washington,DC,20515-4303
Pete,Sessions, 2204 Rayburn House Office Building,Washington,DC,20515-4317
Terri,Sewell, 1035 Longworth House Office Building,Washington,DC,20515-0107
Brad,Sherman, 2365 Rayburn House Office Building,Washington,DC,20515-0532
Mikie,Sherrill, 1427 Longworth House Office Building,Washington,DC,20515-3011
Jefferson,Shreve, 224 Cannon House Office Building,Washington,DC,20515-1406
Lateefah,Simon, 1023 Longworth House Office Building,Washington,DC,20515-0512
Michael,Simpson, 2084 Rayburn House Office Building,Washington,DC,20515-1202
Adam,Smith, 2264 Rayburn House Office Building,Washington,DC,20515-4709
Adrian,Smith, 502 Cannon House Office Building,Washington,DC,20515-2703
Christopher,Smith, 2373 Rayburn House Office Building,Washington,DC,20515-3004
Jason,Smith, 1011 Longworth House Office Building,Washington,DC,20515-2508
Lloyd,Smucker, 302 Cannon House Office Building,Washington,DC,20515-3811
Eric,Sorensen, 1314 Longworth House Office Building,Washington,DC,20515-1317
Darren,Soto, 2353 Rayburn House Office Building,Washington,DC,20515-0909
Victoria,Spartz, 1609 Longworth House Office Building,Washington,DC,20515-1405
Melanie,Stansbury, 1421 Longworth House Office Building,Washington,DC,20515-3101
Greg,Stanton, 207 Cannon House Office Building,Washington,DC,20515-0304
